name,arrow,close combat,magic
jonsnow,8,8,5
samtarly,1,5,5
dolorousedd,5,4,4
eddisontollett,5,3,2
cotterpyke,6,6,1
clydas,2,4,5
bowenmarsh,4,1,2
hobb,3,7,3
donalnoye,6,0,5
owen,3,3,9
yarwick,2,5,2
cellador,4,3,1
jackbulwer,3,2,8
emmett,5,7,6
denys,5,4,5
wallace,6,2,9
mullin,3,1,4
halfhand,9,9,4
stonesnake,7,8,4
harmune,2,5,6
tattersalt,2,5,4
glendon,4,6,3
hewett,6,1,1
maynard,2,1,3
barleycorn,2,5,3
robb,9,9,7
bran,2,7,2
rickon,2,2,8
barristan,10,10,2
lordmormont,7,8,1
arya,4,6,4
brienne,9,9,5
tyrion,4,8,6
ned,10,10,4
